21:40:27.121 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:27.124 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:27.125 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:27.258 INFO: JdwpEventCenterDelegate: THREAD_STARTED: thread (93, AssetManager, main)
21:40:27.359 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:27.361 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:29.930 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:30.034 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:30.036 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:30.038 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:30.039 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:30.041 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:30.047 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:30.059 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:30.061 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:30.064 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:30.066 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:30.068 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:30.073 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:30.087 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:30.090 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:30.092 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:30.094 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:30.096 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:30.101 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:30.119 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:30.122 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:30.124 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:30.126 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:30.129 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:30.134 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:30.149 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:30.151 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:30.154 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:30.156 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:30.158 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:30.163 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:30.178 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:30.181 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:30.183 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:30.185 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:30.187 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:30.192 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:30.211 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:30.213 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:30.215 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:30.217 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:30.220 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:30.224 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:30.243 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:30.245 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:30.247 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
